"book","word","n"
"Emma","over",139
"Persuasion","nothing",139
"Persuasion","other",139
"Sense & Sensibility","lady",138
"Sense & Sensibility","made",138
"Mansfield Park","hope",138
"Mansfield Park","many",138
"Mansfield Park","part",138
"Emma","away",138
"Emma","many",138
"Northanger Abbey","herself",138
"Northanger Abbey","might",138
"Northanger Abbey","think",138
"Sense & Sensibility","sure",136
"Mansfield Park","half",136
"Mansfield Park","look",136
"Emma","poor",136
"Persuasion","some",136
"Mansfield Park","always",135
"Emma","wish",135
"Northanger Abbey","own",135
"Pride & Prejudice","however",134
"Pride & Prejudice","out",134
"Mansfield Park","grant",134
"Northanger Abbey","can",134
"Sense & Sensibility","its",133
"Pride & Prejudice","lydia",133
"Emma","while",133
"Pride & Prejudice","two",132
"Mansfield Park","cannot",132
"Mansfield Park","give",132
"Emma","even",132
"Emma","go",132
"Persuasion","again",132
"Mansfield Park","man",131
"Emma","however",131
"Northanger Abbey","good",131
"Northanger Abbey","isabella",131
"Pride & Prejudice","ever",130
"Pride & Prejudice","young",130
"Emma","does",130
"Emma","home",130
"Northanger Abbey","every",130
"Northanger Abbey","general",130
"Persuasion","great",130
"Mansfield Park","just",129
"Mansfield Park","still",129
"Mansfield Park","sure",129
"Emma","enough",129
"Sense & Sensibility","shall",128
"Mansfield Park","feel",128
"Emma","mind",128
"Northanger Abbey","into",128
"Persuasion","too",128
"Sense & Sensibility","heart",127
"Pride & Prejudice","himself",127
"Persuasion","man",127
"Sense & Sensibility","give",126
"Pride & Prejudice","made",126
"Mansfield Park","family",126
"Emma","bates",126
"Northanger Abbey","thorpe",126
"Persuasion","am",126
"Persuasion","know",126
"Sense & Sensibility","even",125
"Mansfield Park","take",125
"Emma","happy",125
"Emma","highbury",125
"Emma","yes",125
"Northanger Abbey","morland",125
"Persuasion","how",125
"Persuasion","miss",125
"Sense & Sensibility","always",124
"Mansfield Park","almost",124
"Mansfield Park","love",124
"Mansfield Park","william",124
"Mansfield Park","wish",124
"Northanger Abbey","who",124
"Persuasion","your",124
"Pride & Prejudice","give",123
"Pride & Prejudice","up",123
"Persuasion","most",123
"Persuasion","see",123
"Persuasion","walter",123
"Pride & Prejudice","about",122
"Emma","its",122
"Emma","woman",122
"Persuasion","soon",122
"Pride & Prejudice","hope",121
"Pride & Prejudice","us",121
"Emma","look",121
"Persuasion","mary",121
"Sense & Sensibility","man",120
"Sense & Sensibility","sir",120
"Pride & Prejudice","last",120
"Mansfield Park","aunt",120
"Mansfield Park","henry",120
"Emma","going",120
"Emma","heard",120
"Northanger Abbey","though",120
"Sense & Sensibility","brandon",119
"Sense & Sensibility","room",119
"Pride & Prejudice","always",119
"Pride & Prejudice","many",119
"Emma","came",119
"Emma","last",119
"Emma","take",119
"Northanger Abbey","out",119
"Sense & Sensibility","dear",118
"Mansfield Park","julia",118
"Mansfield Park","moment",118
"Emma","half",118
"Persuasion","russell",118
"Pride & Prejudice","away",117
"Mansfield Park","happy",117
"Mansfield Park","heart",117
"Emma","love",117
"Emma","room",117
"Persuasion","though",117
"Sense & Sensibility","thought",116
"Pride & Prejudice","father",116
"Pride & Prejudice","letter",116
"Northanger Abbey","after",116
"Northanger Abbey","allen",116
"Persuasion","before",116
"Sense & Sensibility","into",115
"Pride & Prejudice","long",115
"Emma","pleasure",115
"Emma","still",115
"Northanger Abbey","about",115
"Northanger Abbey","other",115
"Sense & Sensibility","ferrars",114
"Sense & Sensibility","himself",114
"Mansfield Park","indeed",114
"Persuasion","two",114
"Sense & Sensibility","saw",113
"Mansfield Park","down",113
"Mansfield Park","found",113
"Emma","another",113
"Emma","felt",113
"Emma","something",113
"Northanger Abbey","say",113
"Persuasion","first",113
"Sense & Sensibility","away",112
"Pride & Prejudice","cannot",112
"Pride & Prejudice","mother",112
"Pride & Prejudice","thought",112
"Mansfield Park","crawford's",112
"Emma","sort",112
"Northanger Abbey","nothing",112
"Persuasion","quite",112
"Sense & Sensibility","up",111
"Northanger Abbey","without",111
"Persuasion","musgrove",111
"Pride & Prejudice","catherine",110
"Mansfield Park","yet",110
"Emma","moment",110
"Northanger Abbey","most",110
"Persuasion","always",110
"Sense & Sensibility","while",109
"Mansfield Park","fanny's",109
"Emma","letter",109
"Emma","yet",109
"Northanger Abbey","go",109
"Pride & Prejudice","way",108
"Mansfield Park","come",108
"Mansfield Park","going",108
"Mansfield Park","maria",108
"Mansfield Park","same",108
"Mansfield Park","yes",108
"Emma","morning",108
"Emma","saw",108
"Persuasion","without",108
"Pride & Prejudice","house",107
"Mansfield Park","speak",107
"Mansfield Park","subject",107
"Northanger Abbey","then",107
"Persuasion","can",107
"Sense & Sensibility","felt",106
"Pride & Prejudice","enough",106
"Mansfield Park","however",106
"Emma","few",106
"Pride & Prejudice","its",105
"Mansfield Park","few",105
"Mansfield Park","price",105
"Mansfield Park","till",105
"Sense & Sensibility","long",104
"Pride & Prejudice","friend",104
"Pride & Prejudice","go",104
"Mansfield Park","perhaps",104
"Northanger Abbey","first",104
"Northanger Abbey","young",104
"Sense & Sensibility","enough",103
"Sense & Sensibility","last",103
"Sense & Sensibility","myself",103
"Sense & Sensibility","young",103
"Pride & Prejudice","replied",103
"Pride & Prejudice","saw",103
"Mansfield Park","seemed",103
"Mansfield Park","while",103
"Emma","myself",103
"Northanger Abbey","little",103
"Northanger Abbey","too",103
"Sense & Sensibility","come",102
"Sense & Sensibility","replied",102
"Sense & Sensibility","same",102
"Pride & Prejudice","sure",102
"Mansfield Park","best",102
"Mansfield Park","came",102
"Mansfield Park","less",102
"Mansfield Park","place",102
"Mansfield Park","those",102
"Emma","believe",102
"Emma","feelings",102
"Emma","same",102
"Emma","till",102
"Persuasion","every",102
"Mansfield Park","pleasure",101
"Mansfield Park","want",101
"Emma","certainly",101
"Northanger Abbey","brother",101
"Northanger Abbey","its",101
"Persuasion","bath",101
"Sense & Sensibility","happy",100
"Sense & Sensibility","indeed",100
"Sense & Sensibility","many",100
"Sense & Sensibility","mind",100
"Sense & Sensibility","over",100
"Sense & Sensibility","still",100
"Emma","hear",100
"Emma","idea",100
"Northanger Abbey","thought",100
"Persuasion","louisa",100
"Pride & Prejudice","felt",99
"Mansfield Park","together",99
"Mansfield Park","us",99
"Emma","off",99
"Emma","perhaps",99
"Emma","speak",99
"Northanger Abbey","however",99
"Persuasion","has",99
"Sense & Sensibility","go",98
"Sense & Sensibility","left",98
"Sense & Sensibility","upon",98
"Mansfield Park","brother",98
"Mansfield Park","friend",98
"Emma","doubt",98
"Northanger Abbey","henry",98
"Northanger Abbey","sure",98
"Persuasion","into",98
"Sense & Sensibility","less",97
"Pride & Prejudice","manner",97
"Pride & Prejudice","wish",97
"Mansfield Park","where",97
"Emma","our",97
"Emma","subject",97
"Northanger Abbey","great",97
"Persuasion","about",97
"Pride & Prejudice","having",96
"Pride & Prejudice","oh",96
"Pride & Prejudice","quite",96
"Mansfield Park","poor",96
"Mansfield Park","right",96
"Mansfield Park","uncle",96
"Emma","evening",96
"Emma","party",96
"Persuasion","after",96
"Persuasion","made",96
"Sense & Sensibility","kind",95
"Pride & Prejudice","indeed",95
"Pride & Prejudice","lizzy",95
"Mansfield Park","gone",95
"Emma","feel",95
"Emma","house",95
"Emma","ought",95
"Emma","those",95
"Northanger Abbey","friend",95
"Persuasion","himself",95
"Persuasion","long",95
"Persuasion","out",95
"Mansfield Park","another",94
"Mansfield Park","began",94
"Mansfield Park","rather",94
"Mansfield Park","three",94
"Emma","word",94
"Persuasion","father",94
"Persuasion","house",94
"Sense & Sensibility","both",93
"Sense & Sensibility","quite",93
"Sense & Sensibility","therefore",93
"Sense & Sensibility","world",93
"Pride & Prejudice","come",93
"Pride & Prejudice","myself",93
"Pride & Prejudice","till",93
"Mansfield Park","find",93
"Mansfield Park","ought",93
"Emma","people",93
"Emma","place",93
"Northanger Abbey","has",93
"Northanger Abbey","soon",93
"Persuasion","say",93
"Persuasion","seemed",93
"Pride & Prejudice","better",92
"Pride & Prejudice","done",92
"Pride & Prejudice","love",92
"Pride & Prejudice","pleasure",92
"Mansfield Park","saw",92
"Emma","deal",92
"Emma","found",92
"Emma","right",92
"Northanger Abbey","like",92
"Northanger Abbey","up",92
"Persuasion","having",92
"Sense & Sensibility","believe",91
"Sense & Sensibility","seemed",91
"Sense & Sensibility","where",91
"Pride & Prejudice","cried",91
"Pride & Prejudice","over",91
"Emma","harriet's",91
"Emma","looked",91
"Emma","often",91
"Northanger Abbey","day",91
"Persuasion","up",91
"Sense & Sensibility","tell",90
"Sense & Sensibility","us",90
"Pride & Prejudice","came",90
"Mansfield Park","father",90
"Emma","let",90
"Emma","randalls",90
"Emma","want",90
"Northanger Abbey","away",90
"Northanger Abbey","indeed",90
"Northanger Abbey","made",90
"Northanger Abbey","see",90
"Persuasion","thought",90
"Sense & Sensibility","barton",89
"Sense & Sensibility","came",89
"Sense & Sensibility","cannot",89
"Pride & Prejudice","often",89
"Pride & Prejudice","where",89
"Mansfield Park","between",89
